## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0262870	axo	axo-PD	axo-PH
FBgn0262870	axo	axo-PF	
FBgn0262870	axo	axo-PI	
FBgn0262871	lute	lute-PA	
FBgn0262871	lute	lute-PB	lute-PC
FBgn0262871	lute	lute-PD	
FBgn0262872	milt	milt-PA	milt-PC
FBgn0262872	milt	milt-PB	
FBgn0262872	milt	milt-PD	milt-PF
FBgn0262872	milt	milt-PE	
FBgn0262873	Diedel2	Diedel2-PA	
FBgn0262874	CG43229	CG43229-PA	
FBgn0262874	CG43229	CG43229-PB	
FBgn0262875	CG43230	CG43230-PA	
FBgn0262876	CG43231	CG43231-PA	
FBgn0262877	CG43232	CG43232-PA	CG43232-PB
FBgn0262878	CG43233	CG43233-PA	
FBgn0262878	CG43233	CG43233-PB	
FBgn0262880	CG43235	CG43235-PA	
FBgn0262881	CG43236	CG43236-PA	CG43236-PB
FBgn0262882	CG43237	CG43237-PA	
FBgn0262889	CG43244	CG43244-PA	
FBgn0262890	CG43245	CG43245-PA	CG43245-PB
FBgn0262891	CG43246	CG43246-PA	
FBgn0262893	CG43248	CG43248-PA	
FBgn0262893	CG43248	CG43248-PD	
FBgn0262894	CG43249	CG43249-PA	
FBgn0262896	CG43251	CG43251-PA	
FBgn0262899	CG43254	CG43254-PA	
FBgn0262899	CG43254	CG43254-PB	
FBgn0262900	CG43255	CG43255-PA	
FBgn0262937	Rabex-5	Rabex-5-PA	
FBgn0262948	CG43267	CG43267-PA	
FBgn0262952	mt:ND4	mt:ND4-PB	
FBgn0262954	Rpb12	Rpb12-PA	
FBgn0262955	RpII140	RpII140-PA	RpII140-PB
FBgn0262960	CG43271	CG43271-PA	CG43271-PB,CG43271-PC,CG43271-PD
FBgn0262961	CG43272	CG43272-PA	CG43272-PB
FBgn0262962	CG43273	CG43273-PA	
FBgn0262962	CG43273	CG43273-PC	
FBgn0262966	CG43277	CG43277-PA	
FBgn0262975	cnc	cnc-PA	cnc-PD,cnc-PE,cnc-PF,cnc-PG,cnc-PH
FBgn0262975	cnc	cnc-PB	
FBgn0262975	cnc	cnc-PC	cnc-PJ,cnc-PK
FBgn0262975	cnc	cnc-PI	cnc-PM,cnc-PN
FBgn0262975	cnc	cnc-PL	
FBgn0262975	cnc	cnc-PO	
FBgn0262975	cnc	cnc-PP	
FBgn0262976	lawc	lawc-PA	lawc-PB,lawc-PC,lawc-PD
FBgn0262980	CG43288	CG43288-PA	
FBgn0262982	CG43290	CG43290-PA	
FBgn0262983	CG43291	CG43291-PA	CG43291-PC
FBgn0262983	CG43291	CG43291-PB	
FBgn0262984	CG43292	CG43292-PA	
FBgn0262985	CG43293	CG43293-PA	
FBgn0262985	CG43293	CG43293-PB	
FBgn0262986	CG43294	CG43294-PA	CG43294-PB
FBgn0262987	CG43295	CG43295-PA	
FBgn0262988	CG43296	CG43296-PA	
FBgn0262999	CG43307	CG43307-PA	
FBgn0263000	CG43308	CG43308-PA	
FBgn0263000	CG43308	CG43308-PB	
FBgn0263004	CG43312	CG43312-PA	
FBgn0263005	CG43313	CG43313-PA	CG43313-PB
FBgn0263006	SERCA	SERCA-PA	
FBgn0263006	SERCA	SERCA-PB	SERCA-PC,SERCA-PD,SERCA-PE,SERCA-PF,SERCA-PG,SERCA-PH
FBgn0263006	SERCA	SERCA-PI	
FBgn0263020	CG43315	CG43315-PA	
FBgn0263020	CG43315	CG43315-PB	
FBgn0263021	CG43316	CG43316-PA	
FBgn0263022	CG43317	CG43317-PA	
FBgn0263023	CG43318	CG43318-PA	
FBgn0263024	CG43319	CG43319-PA	
FBgn0263025	CG43320	CG43320-PA	
FBgn0263026	CG43321	CG43321-PA	
FBgn0263027	CG43322	CG43322-PA	
FBgn0263029	CG43324	CG43324-PA	
FBgn0263030	CG43325	CG43325-PA	CG43325-PB,CG43325-PC
FBgn0263031	CG43326	CG43326-PA	CG43326-PB
FBgn0263032	CG43327	CG43327-PA	
FBgn0263033	CG43328	CG43328-PA	CG43328-PB
FBgn0263034	CG43329	CG43329-PA	
FBgn0263035	CG43330	CG43330-PA	
FBgn0263036	CG43331	CG43331-PA	
FBgn0263037	CG43332	CG43332-PA	
FBgn0263038	CG43333	CG43333-PA	
FBgn0263040	CG43335	CG43335-PA	
FBgn0263041	CG43336	CG43336-PA	
FBgn0263042	CG43337	CG43337-PA	CG43337-PB
FBgn0263046	CG43341	CG43341-PA	
FBgn0263047	CG43342	CG43342-PA	
FBgn0263048	CG43343	CG43343-PA	
FBgn0263048	CG43343	CG43343-PB	
FBgn0263048	CG43343	CG43343-PC	
FBgn0263050	CG43345	CG43345-PB	CG43345-PC
FBgn0263051	CG43346	CG43346-PA	CG43346-PB,CG43346-PC
FBgn0263072	CG43347	CG43347-PB	
FBgn0263072	CG43347	CG43347-PC	
FBgn0263072	CG43347	CG43347-PD	
FBgn0263076	Klp54D	Klp54D-PA	
FBgn0263076	Klp54D	Klp54D-PB	
FBgn0263076	Klp54D	Klp54D-PC	
FBgn0263076	Klp54D	Klp54D-PD	
FBgn0263076	Klp54D	Klp54D-PE	
FBgn0263077	CG43340	CG43340-PA	CG43340-PF
FBgn0263077	CG43340	CG43340-PC	
FBgn0263077	CG43340	CG43340-PD	CG43340-PH
FBgn0263077	CG43340	CG43340-PE	CG43340-PK,CG43340-PL
FBgn0263077	CG43340	CG43340-PG	
FBgn0263077	CG43340	CG43340-PJ	
FBgn0263077	CG43340	CG43340-PM	
FBgn0263077	CG43340	CG43340-PN	
FBgn0263077	CG43340	CG43340-PO	
FBgn0263077	CG43340	CG43340-PP	
FBgn0263077	CG43340	CG43340-PQ	
FBgn0263078	CG43339	CG43339-PB	CG43339-PC
FBgn0263079	CG43338	CG43338-PA	
FBgn0263079	CG43338	CG43338-PB	
FBgn0263080	CG43348	CG43348-PA	CG43348-PB
FBgn0263081	CG43349	CG43349-PA	CG43349-PB
FBgn0263082	CG43350	CG43350-PA	CG43350-PB
FBgn0263083	CG43351	CG43351-PA	
FBgn0263084	HP1Lcsd	HP1Lcsd-PA	
FBgn0263086	CG43354	CG43354-PA	
FBgn0263087	CG43355	CG43355-PA	CG43355-PC
FBgn0263094	CG43362	CG43362-PA	
FBgn0263102	psq	psq-PA	
FBgn0263102	psq	psq-PB	psq-PC
FBgn0263102	psq	psq-PD	psq-PE,psq-PF,psq-PG,psq-PH
FBgn0263102	psq	psq-PJ	psq-PK
FBgn0263102	psq	psq-PM	
FBgn0263102	psq	psq-PN	
FBgn0263106	DnaJ-1	DnaJ-1-PA	DnaJ-1-PB
FBgn0263108	BtbVII	BtbVII-PA	BtbVII-PB,BtbVII-PD,BtbVII-PE
FBgn0263108	BtbVII	BtbVII-PF	
FBgn0263108	BtbVII	BtbVII-PG	
FBgn0263108	BtbVII	BtbVII-PH	
FBgn0263108	BtbVII	BtbVII-PI	
FBgn0263109	CG43366	CG43366-PB	
FBgn0263110	CG43367	CG43367-PC	
FBgn0263110	CG43367	CG43367-PD	
FBgn0263110	CG43367	CG43367-PE	CG43367-PF
FBgn0263111	cac	cac-PA	
FBgn0263111	cac	cac-PB	
FBgn0263111	cac	cac-PC	
FBgn0263111	cac	cac-PD	
FBgn0263111	cac	cac-PE	cac-PO
FBgn0263111	cac	cac-PF	
FBgn0263111	cac	cac-PG	
FBgn0263111	cac	cac-PH	
FBgn0263111	cac	cac-PI	
FBgn0263111	cac	cac-PJ	
FBgn0263111	cac	cac-PL	
FBgn0263111	cac	cac-PM	
FBgn0263111	cac	cac-PN	
FBgn0263111	cac	cac-PP	
FBgn0263112	Mitf	Mitf-PA	Mitf-PB
FBgn0263112	Mitf	Mitf-PC	
FBgn0263112	Mitf	Mitf-PD	
FBgn0263113	CG43370	CG43370-PD	
FBgn0263114	CG43371	CG43371-PA	
FBgn0263116	5-HT1B	5-HT1B-PA	
FBgn0263116	5-HT1B	5-HT1B-PD	
FBgn0263116	5-HT1B	5-HT1B-PE	
FBgn0263117	CG34377	CG34377-PA	CG34377-PB,CG34377-PD
FBgn0263117	CG34377	CG34377-PC	
FBgn0263117	CG34377	CG34377-PE	
FBgn0263118	tx	tx-PA	tx-PB
FBgn0263120	Acsl	Acsl-PA	Acsl-PB,Acsl-PE,Acsl-PH
FBgn0263120	Acsl	Acsl-PC	Acsl-PF,Acsl-PG,Acsl-PI
FBgn0263120	Acsl	Acsl-PD	
FBgn0263120	Acsl	Acsl-PJ	
FBgn0263121	Prosalpha1	Prosalpha1-PA	Prosalpha1-PB
FBgn0263131	CG43373	CG43373-PB	
FBgn0263131	CG43373	CG43373-PC	
FBgn0263132	Cht6	Cht6-PC	
FBgn0263132	Cht6	Cht6-PF	
FBgn0263132	Cht6	Cht6-PG	
FBgn0263132	Cht6	Cht6-PH	
FBgn0263132	Cht6	Cht6-PI	
FBgn0263132	Cht6	Cht6-PJ	
FBgn0263132	Cht6	Cht6-PK	
FBgn0263133	ico	ico-PA	
FBgn0263143	vret	vret-PA	
FBgn0263144	bin3	bin3-PA	bin3-PB,bin3-PC,bin3-PD
FBgn0263197	Patronin	Patronin-PA	
FBgn0263197	Patronin	Patronin-PB	
FBgn0263197	Patronin	Patronin-PC	
FBgn0263197	Patronin	Patronin-PD	
FBgn0263197	Patronin	Patronin-PE	
FBgn0263197	Patronin	Patronin-PF	
FBgn0263197	Patronin	Patronin-PI	
FBgn0263197	Patronin	Patronin-PJ	
FBgn0263197	Patronin	Patronin-PK	
FBgn0263197	Patronin	Patronin-PL	
FBgn0263197	Patronin	Patronin-PM	
FBgn0263197	Patronin	Patronin-PN	
FBgn0263197	Patronin	Patronin-PO	
FBgn0263198	Acn	Acn-PA	Acn-PB,Acn-PC
FBgn0263199	Galk	Galk-PA	Galk-PB,Galk-PC,Galk-PD
FBgn0263200	Galt	Galt-PA	Galt-PB
FBgn0263206	CG43376	CG43376-PA	
FBgn0263216	CG43386	CG43386-PB	
FBgn0263216	CG43386	CG43386-PC	CG43386-PD
FBgn0263219	Dscam4	Dscam4-PD	Dscam4-PE
FBgn0263219	Dscam4	Dscam4-PH	
FBgn0263219	Dscam4	Dscam4-PI	Dscam4-PJ
FBgn0263220	Hk	Hk-PD	Hk-PG
FBgn0263220	Hk	Hk-PE	
FBgn0263220	Hk	Hk-PF	
FBgn0263220	Hk	Hk-PH	
FBgn0263220	Hk	Hk-PI	
FBgn0263220	Hk	Hk-PK	
FBgn0263220	Hk	Hk-PL	
FBgn0263220	Hk	Hk-PM	
FBgn0263231	bel	bel-PA	
FBgn0263231	bel	bel-PB	
FBgn0263232	Nxf3	Nxf3-PB	Nxf3-PC
FBgn0263233	robls54B	robls54B-PA	robls54B-PB
FBgn0263234	Phae1	Phae1-PA	Phae1-PB
FBgn0263235	Phae2	Phae2-PB	Phae2-PC
FBgn0263236	SP1029	SP1029-PA	SP1029-PB,SP1029-PC,SP1029-PD,SP1029-PE
FBgn0263237	Cdk7	Cdk7-PA	
FBgn0263239	dar1	dar1-PB	
FBgn0263240	Coop	Coop-PA	Coop-PB
FBgn0263241	Mocs1	Mocs1-PA	
FBgn0263241	Mocs1	Mocs1-PC	
FBgn0263246	CG43389	CG43389-PA	
FBgn0263247	CG43390	CG43390-PA	
FBgn0263248	CG43391	CG43391-PA	
FBgn0263249	CG43392	CG43392-PA	
FBgn0263250	CG43393	CG43393-PA	
FBgn0263251	vnc	vnc-PA	vnc-PB,vnc-PC,vnc-PD,vnc-PE
FBgn0263256	CG43394	CG43394-PA	CG43394-PD
FBgn0263256	CG43394	CG43394-PB	CG43394-PC
FBgn0263256	CG43394	CG43394-PE	
FBgn0263257	Cngl	Cngl-PD	
FBgn0263257	Cngl	Cngl-PE	
FBgn0263257	Cngl	Cngl-PF	
FBgn0263257	Cngl	Cngl-PI	
FBgn0263257	Cngl	Cngl-PJ	
FBgn0263258	chas	chas-PA	chas-PC
FBgn0263258	chas	chas-PB	chas-PE
FBgn0263258	chas	chas-PD	
FBgn0263260	sel	sel-PA	
FBgn0263270	CG43396	CG43396-PA	
FBgn0263271	CG43397	CG43397-PA	CG43397-PB
FBgn0263278	Fic	Fic-PA	
FBgn0263289	scrib	scrib-PA	scrib-PB
FBgn0263289	scrib	scrib-PC	
FBgn0263289	scrib	scrib-PD	
FBgn0263289	scrib	scrib-PH	
FBgn0263289	scrib	scrib-PI	
FBgn0263289	scrib	scrib-PJ	
FBgn0263289	scrib	scrib-PK	
FBgn0263289	scrib	scrib-PL	
FBgn0263289	scrib	scrib-PM	
FBgn0263289	scrib	scrib-PN	
FBgn0263289	scrib	scrib-PO	
FBgn0263289	scrib	scrib-PP	
FBgn0263289	scrib	scrib-PQ	
FBgn0263289	scrib	scrib-PR	
FBgn0263289	scrib	scrib-PS	
FBgn0263289	scrib	scrib-PT	
FBgn0263289	scrib	scrib-PU	
FBgn0263314	CG43400	CG43400-PA	
FBgn0263316	Mrp4	Mrp4-PB	
FBgn0263320	CG43401	CG43401-PA	CG43401-PB
FBgn0263321	CG43402	CG43402-PA	CG43402-PB
FBgn0263322	CG43403	CG43403-PA	
FBgn0263326	CG43407	CG43407-PA	CG43407-PB
FBgn0263346	CG43427	CG43427-PE	CG43427-PF,CG43427-PG
FBgn0263346	CG43427	CG43427-PH	
FBgn0263346	CG43427	CG43427-PI	
FBgn0263346	CG43427	CG43427-PJ	
FBgn0263346	CG43427	CG43427-PM	
FBgn0263346	CG43427	CG43427-PN	
FBgn0263346	CG43427	CG43427-PO	
FBgn0263346	CG43427	CG43427-PP	
FBgn0263351	AP-2mu	AP-2mu-PA	AP-2mu-PB,AP-2mu-PC
FBgn0263352	Unr	Unr-PA	
FBgn0263352	Unr	Unr-PB	Unr-PD,Unr-PE
FBgn0263352	Unr	Unr-PC	
FBgn0263353	CG11000	CG11000-PB	CG11000-PC
FBgn0263354	CG42784	CG42784-PC	
FBgn0263354	CG42784	CG42784-PD	
FBgn0263354	CG42784	CG42784-PF	
FBgn0263354	CG42784	CG42784-PJ	
FBgn0263355	CG31688	CG31688-PB	CG31688-PD,CG31688-PG
FBgn0263355	CG31688	CG31688-PE	
FBgn0263355	CG31688	CG31688-PF	
FBgn0263386	CG43438	CG43438-PA	
FBgn0263387	CG43439	CG43439-PA	
FBgn0263389	CG43441	CG43441-PA	
FBgn0263390	Nha2	Nha2-PA	
FBgn0263390	Nha2	Nha2-PB	
FBgn0263391	hts	hts-PA	hts-PK,hts-PN
FBgn0263391	hts	hts-PC	hts-PH,hts-PJ
FBgn0263391	hts	hts-PD	
FBgn0263391	hts	hts-PI	hts-PL,hts-PM
FBgn0263391	hts	hts-PO	hts-PS
FBgn0263391	hts	hts-PP	
FBgn0263391	hts	hts-PQ	hts-PR
FBgn0263392	Tet	Tet-PA	
FBgn0263392	Tet	Tet-PB	
FBgn0263392	Tet	Tet-PC	Tet-PD
FBgn0263392	Tet	Tet-PE	
FBgn0263392	Tet	Tet-PF	
FBgn0263395	hppy	hppy-PA	
FBgn0263395	hppy	hppy-PB	
FBgn0263395	hppy	hppy-PC	
FBgn0263395	hppy	hppy-PD	
FBgn0263395	hppy	hppy-PE	
FBgn0263396	sqd	sqd-PA	
FBgn0263396	sqd	sqd-PB	
FBgn0263396	sqd	sqd-PC	sqd-PE
FBgn0263396	sqd	sqd-PD	
FBgn0263397	Ih	Ih-PB	
FBgn0263397	Ih	Ih-PC	Ih-PJ,Ih-PK,Ih-PL
FBgn0263397	Ih	Ih-PE	
FBgn0263397	Ih	Ih-PF	
FBgn0263397	Ih	Ih-PG	
FBgn0263397	Ih	Ih-PH	
FBgn0263397	Ih	Ih-PI	
FBgn0263397	Ih	Ih-PM	
FBgn0263398	CG6364	CG6364-PA	CG6364-PC,CG6364-PD,CG6364-PE
FBgn0263398	CG6364	CG6364-PB	
FBgn0263399	CG43445	CG43445-PA	
FBgn0263400	CG43446	CG43446-PA	
FBgn0263400	CG43446	CG43446-PB	
FBgn0263401	CG43447	CG43447-PA	
FBgn0263402	CG43448	CG43448-PA	
FBgn0263403	CG43449	CG43449-PA	CG43449-PB
FBgn0263404	CG43450	CG43450-PA	
FBgn0263456	nwk	nwk-PB	
FBgn0263456	nwk	nwk-PC	
FBgn0263456	nwk	nwk-PD	nwk-PG
FBgn0263456	nwk	nwk-PF	
FBgn0263456	nwk	nwk-PH	
FBgn0263456	nwk	nwk-PI	
FBgn0263456	nwk	nwk-PJ	
FBgn0263456	nwk	nwk-PK	
FBgn0263456	nwk	nwk-PL	
FBgn0263490	mld	mld-PA	mld-PC
FBgn0263490	mld	mld-PD	
FBgn0263490	mld	mld-PE	
FBgn0263490	mld	mld-PF	
FBgn0263510	nclb	nclb-PA	
FBgn0263511	Vsx1	Vsx1-PA	Vsx1-PB
FBgn0263512	Vsx2	Vsx2-PA	
FBgn0263512	Vsx2	Vsx2-PB	
FBgn0263593	Lpin	Lpin-PA	Lpin-PM
FBgn0263593	Lpin	Lpin-PB	Lpin-PK
FBgn0263593	Lpin	Lpin-PC	
FBgn0263593	Lpin	Lpin-PD	
FBgn0263593	Lpin	Lpin-PE	
FBgn0263593	Lpin	Lpin-PG	
FBgn0263593	Lpin	Lpin-PH	
FBgn0263593	Lpin	Lpin-PJ	
FBgn0263593	Lpin	Lpin-PL	
FBgn0263594	lost	lost-PA	
FBgn0263596	CG43618	CG43618-PA	
FBgn0263597	Acp98AB	Acp98AB-PB	
FBgn0263598	Vha68-2	Vha68-2-PA	Vha68-2-PB,Vha68-2-PC,Vha68-2-PD,Vha68-2-PE,Vha68-2-PF
FBgn0263599	l(3)72Ab	l(3)72Ab-PA	
FBgn0263600	DNApol-delta	DNApol-delta-PA	
FBgn0263601	mib1	mib1-PA	
FBgn0263601	mib1	mib1-PB	
FBgn0263602	Tasp1	Tasp1-PA	Tasp1-PB
FBgn0263603	Zn72D	Zn72D-PA	
FBgn0263603	Zn72D	Zn72D-PB	Zn72D-PC,Zn72D-PD,Zn72D-PF
FBgn0263603	Zn72D	Zn72D-PE	
FBgn0263605	l(3)72Dn	l(3)72Dn-PA	
FBgn0263605	l(3)72Dn	l(3)72Dn-PB	
FBgn0263606	Hsc20	Hsc20-PA	
FBgn0263607	l(3)72Dp	l(3)72Dp-PA	
FBgn0263608	l(3)72Dr	l(3)72Dr-PA	
FBgn0263621	CG43630	CG43630-PA	
FBgn0263647	CG43638	CG43638-PA	
FBgn0263654	CG43645	CG43645-PA	
FBgn0263655	CG43646	CG43646-PA	
FBgn0263656	CG43647	CG43647-PA	
FBgn0263667	Lpt	Lpt-PA	
FBgn0263667	Lpt	Lpt-PB	
FBgn0263697	Uba3	Uba3-PA	
FBgn0263705	Myo10A	Myo10A-PC	Myo10A-PF
FBgn0263705	Myo10A	Myo10A-PD	
FBgn0263705	Myo10A	Myo10A-PE	
FBgn0263706	CG43658	CG43658-PA	CG43658-PB,CG43658-PE,CG43658-PH
FBgn0263706	CG43658	CG43658-PC	
FBgn0263706	CG43658	CG43658-PD	
FBgn0263706	CG43658	CG43658-PF	CG43658-PG
FBgn0263707	CG43659	CG43659-PA	
FBgn0263738	Ada2a	Ada2a-PA	
FBgn0263738	Ada2a	Ada2a-PB	
FBgn0263738	Ada2a	Ada2a-PC	Ada2a-PG
FBgn0263738	Ada2a	Ada2a-PE	
FBgn0263740	eIF-2gamma	eIF-2gamma-PB	eIF-2gamma-PD
FBgn0263740	eIF-2gamma	eIF-2gamma-PC	
FBgn0263741	CG43666	CG43666-PA	
FBgn0263742	CG43667	CG43667-PA	
FBgn0263743	CG43668	CG43668-PA	
FBgn0263747	CG43672	CG43672-PA	
FBgn0263748	CG43673	CG43673-PA	
FBgn0263750	CG43675	CG43675-PB	CG43675-PC,CG43675-PD
FBgn0263755	Su(var)3-9	Su(var)3-9-PA	
FBgn0263757	Rpb4	Rpb4-PF	
FBgn0263760	CG43677	CG43677-PA	
FBgn0263761	CG43678	CG43678-PA	
FBgn0263762	CG43679	CG43679-PA	CG43679-PB
FBgn0263763	CG43680	CG43680-PA	
FBgn0263772	CG43689	CG43689-PC	
FBgn0263772	CG43689	CG43689-PD	
FBgn0263772	CG43689	CG43689-PE	
FBgn0263772	CG43689	CG43689-PF	
FBgn0263772	CG43689	CG43689-PG	
FBgn0263772	CG43689	CG43689-PH	
FBgn0263773	fok	fok-PA	fok-PC
FBgn0263773	fok	fok-PD	
FBgn0263773	fok	fok-PE	
FBgn0263774	CG43691	CG43691-PC	CG43691-PD
FBgn0263776	CG43693	CG43693-PA	CG43693-PB
FBgn0263776	CG43693	CG43693-PC	
FBgn0263776	CG43693	CG43693-PD	
FBgn0263776	CG43693	CG43693-PE	
FBgn0263776	CG43693	CG43693-PF	
FBgn0263776	CG43693	CG43693-PG	
FBgn0263777	CG43694	CG43694-PA	
FBgn0263780	CG17684	CG17684-PC	
FBgn0263780	CG17684	CG17684-PD	
FBgn0263782	Hmgcr	Hmgcr-PA	
FBgn0263829	CG34334	CG34334-PA	
FBgn0263830	CG40486	CG40486-PB	CG40486-PC
FBgn0263831	Gen	Gen-PA	
FBgn0263832	Rcd5	Rcd5-PA	
FBgn0263841	CG43702	CG43702-PA	
FBgn0263841	CG43702	CG43702-PB	
FBgn0263842	CG43703	CG43703-PA	
FBgn0263846	CG43707	CG43707-PC	CG43707-PD
FBgn0263846	CG43707	CG43707-PE	
FBgn0263846	CG43707	CG43707-PF	
FBgn0263846	CG43707	CG43707-PG	
FBgn0263846	CG43707	CG43707-PH	
FBgn0263846	CG43707	CG43707-PI	
FBgn0263848	CG43709	CG43709-PA	
FBgn0263849	CG43710	CG43710-PA	
FBgn0263850	CG43711	CG43711-PA	
FBgn0263852	l(2)k12914	l(2)k12914-PA	
FBgn0263855	BubR1	BubR1-PA	
FBgn0263863	mRpL45	mRpL45-PA	
FBgn0263864	Dark	Dark-PA	
FBgn0263864	Dark	Dark-PB	
FBgn0263873	sick	sick-PB	
FBgn0263873	sick	sick-PD	sick-PF
FBgn0263873	sick	sick-PE	sick-PG
FBgn0263873	sick	sick-PH	
FBgn0263873	sick	sick-PI	sick-PJ
FBgn0263873	sick	sick-PK	
FBgn0263873	sick	sick-PL	
FBgn0263873	sick	sick-PM	
FBgn0263873	sick	sick-PN	
FBgn0263911	COX8	COX8-PA	COX8-PB
FBgn0263916	Ent2	Ent2-PA	Ent2-PB
FBgn0263929	jvl	jvl-PA	
FBgn0263929	jvl	jvl-PB	
FBgn0263929	jvl	jvl-PC	jvl-PE
FBgn0263929	jvl	jvl-PD	
FBgn0263929	jvl	jvl-PF	
FBgn0263929	jvl	jvl-PG	
FBgn0263930	dally	dally-PA	dally-PB
FBgn0263933	ebi	ebi-PA	
FBgn0263934	esn	esn-PA	esn-PB
FBgn0263934	esn	esn-PC	
FBgn0263934	esn	esn-PD	
FBgn0263968	nonC	nonC-PA	nonC-PB
FBgn0263971	CG43725	CG43725-PA	
FBgn0263973	jv	jv-PB	jv-PC
FBgn0263973	jv	jv-PD	
FBgn0263974	qin	qin-PB	
FBgn0263977	Tim17b	Tim17b-PA	Tim17b-PB
FBgn0263979	Caf1-55	Caf1-55-PA	
FBgn0263979	Caf1-55	Caf1-55-PB	
FBgn0263980	CG43729	CG43729-PA	
FBgn0263980	CG43729	CG43729-PC	
FBgn0263980	CG43729	CG43729-PE	
FBgn0263980	CG43729	CG43729-PH	
FBgn0263980	CG43729	CG43729-PI	
FBgn0263980	CG43729	CG43729-PJ	
FBgn0263980	CG43729	CG43729-PM	
FBgn0263980	CG43729	CG43729-PN	
FBgn0263980	CG43729	CG43729-PO	
FBgn0263980	CG43729	CG43729-PP	
FBgn0263980	CG43729	CG43729-PQ	
FBgn0263980	CG43729	CG43729-PR	
FBgn0263980	CG43729	CG43729-PS	
FBgn0263980	CG43729	CG43729-PT	
FBgn0263980	CG43729	CG43729-PU	
FBgn0263980	CG43729	CG43729-PV	
FBgn0263982	CG43731	CG43731-PA	
FBgn0263983	CG43732	CG43732-PA	CG43732-PB
FBgn0263986	cd	cd-PA	
FBgn0263987	spoon	spoon-PA	spoon-PD,spoon-PE
FBgn0263987	spoon	spoon-PC	
FBgn0263988	Dic61B	Dic61B-PA	
FBgn0263988	Dic61B	Dic61B-PB	
FBgn0263993	CG43736	CG43736-PA	
FBgn0263993	CG43736	CG43736-PB	
FBgn0263993	CG43736	CG43736-PC	
FBgn0263993	CG43736	CG43736-PD	
FBgn0263993	CG43736	CG43736-PE	CG43736-PJ,CG43736-PK
FBgn0263993	CG43736	CG43736-PF	
FBgn0263993	CG43736	CG43736-PG	
FBgn0263993	CG43736	CG43736-PI	CG43736-PL
FBgn0263994	CG43737	CG43737-PB	
FBgn0263994	CG43737	CG43737-PC	
FBgn0263995	cpo	cpo-PN	cpo-PU,cpo-PW,cpo-PX,cpo-PY
FBgn0263995	cpo	cpo-PO	
FBgn0263995	cpo	cpo-PP	
FBgn0263995	cpo	cpo-PQ	
FBgn0263995	cpo	cpo-PR	
FBgn0263995	cpo	cpo-PS	
FBgn0263995	cpo	cpo-PT	cpo-PV
FBgn0263996	CG43739	CG43739-PA	
FBgn0263997	CG43740	CG43740-PA	
FBgn0263997	CG43740	CG43740-PB	
FBgn0263997	CG43740	CG43740-PC	
FBgn0263998	Ack-like	Ack-like-PA	
FBgn0263998	Ack-like	Ack-like-PC	
FBgn0263998	Ack-like	Ack-like-PD	
FBgn0263998	Ack-like	Ack-like-PE	
FBgn0263999	CG43742	CG43742-PB	
FBgn0264000	GluRIB	GluRIB-PA	GluRIB-PC
FBgn0264000	GluRIB	GluRIB-PB	
FBgn0264000	GluRIB	GluRIB-PD	
FBgn0264001	bru-3	bru-3-PA	
FBgn0264001	bru-3	bru-3-PB	
FBgn0264001	bru-3	bru-3-PC	
FBgn0264001	bru-3	bru-3-PD	
FBgn0264001	bru-3	bru-3-PE	
FBgn0264001	bru-3	bru-3-PF	
FBgn0264001	bru-3	bru-3-PG	
FBgn0264001	bru-3	bru-3-PH	
FBgn0264001	bru-3	bru-3-PI	
FBgn0264001	bru-3	bru-3-PJ	
FBgn0264001	bru-3	bru-3-PK	
FBgn0264001	bru-3	bru-3-PL	
FBgn0264001	bru-3	bru-3-PM	
FBgn0264001	bru-3	bru-3-PN	bru-3-PO
FBgn0264002	MsR2	MsR2-PA	MsR2-PB
FBgn0264002	MsR2	MsR2-PC	
FBgn0264005	Hmx	Hmx-PC	Hmx-PE
FBgn0264005	Hmx	Hmx-PD	
FBgn0264006	dysc	dysc-PC	
FBgn0264006	dysc	dysc-PE	
FBgn0264006	dysc	dysc-PF	
FBgn0264006	dysc	dysc-PG	
FBgn0264006	dysc	dysc-PH	
FBgn0264006	dysc	dysc-PI	
FBgn0264006	dysc	dysc-PJ	
FBgn0264075	tgo	tgo-PA	tgo-PB
FBgn0264077	Cnx14D	Cnx14D-PA	
FBgn0264078	Flo2	Flo2-PA	Flo2-PE,Flo2-PK
FBgn0264078	Flo2	Flo2-PB	Flo2-PF
FBgn0264078	Flo2	Flo2-PD	Flo2-PH
FBgn0264078	Flo2	Flo2-PG	
FBgn0264078	Flo2	Flo2-PI	
FBgn0264078	Flo2	Flo2-PJ	
FBgn0264078	Flo2	Flo2-PL	
FBgn0264078	Flo2	Flo2-PM	
FBgn0264081	CG43750	CG43750-PA	CG43750-PB
FBgn0264086	CG43755	CG43755-PB	
FBgn0264086	CG43755	CG43755-PD	
FBgn0264087	Slob	Slob-PA	Slob-PC
FBgn0264087	Slob	Slob-PB	
FBgn0264087	Slob	Slob-PD	Slob-PE
FBgn0264087	Slob	Slob-PF	
FBgn0264087	Slob	Slob-PG	
FBgn0264087	Slob	Slob-PH	
FBgn0264087	Slob	Slob-PI	
